carat,depth,table,x,y,z,price
0.33,61.1,56.0,4.46,4.44,2.72,6.928999999999999
0.53,60.4,58.0,5.26,5.23,3.17,7.579
1.11,61.6,61.0,6.66,6.61,4.09,8.337
1.01,62.9,60.0,6.43,6.33,4.01,8.918
0.3,61.7,57.0,4.32,4.3,2.66,6.654
1.0,59.4,60.0,6.56,6.48,3.87,8.439
0.3,60.6,59.0,4.38,4.34,2.64,6.159
0.23,58.9,60.0,4.03,3.95,2.35,6.534
1.51,61.6,58.0,7.35,7.4,4.54,9.289
0.61,62.5,54.0,5.43,5.45,3.4,7.372000000000001
1.01,61.5,56.0,6.41,6.47,3.96,8.658999999999999
0.4,62.5,59.0,4.72,4.66,2.93,6.957000000000001
0.35,61.7,59.0,4.51,4.53,2.79,6.42
0.33,61.1,59.0,4.42,4.45,2.71,6.1979999999999995
0.92,61.7,62.0,6.2,6.12,3.8,8.349
0.31,62.4,56.0,4.31,4.35,2.7,6.347
0.3,62.6,62.0,4.25,4.21,2.65,6.669
1.0,63.3,59.0,6.29,6.34,4.0,8.697000000000001
0.3,62.5,59.0,4.23,4.28,2.66,6.565
0.9,60.4,58.0,6.25,6.3,3.79,8.145
0.5,61.3,58.0,5.03,5.09,3.1,7.372999999999999
0.7,62.9,56.0,5.7,5.65,3.57,7.773
1.71,61.9,57.0,7.67,7.61,4.73,9.171
0.34,61.4,54.0,4.53,4.5,2.77,6.64
0.32,61.1,56.0,4.44,4.47,2.72,6.561
0.32,60.0,62.0,4.44,4.49,2.68,6.682
0.9,62.6,58.0,6.14,6.22,3.87,8.291
0.57,61.9,57.0,5.3,5.33,3.29,7.251
1.0,62.1,59.0,6.36,6.39,3.96,8.529
0.5,62.1,58.0,5.1,5.01,3.14,7.4110000000000005
1.19,62.8,57.0,6.71,6.77,4.23,8.72
0.5,64.6,58.0,5.0,4.97,3.22,7.188
1.61,62.4,55.0,7.49,7.52,4.68,9.234
0.38,61.5,56.0,4.67,4.7,2.88,7.1
0.39,62.4,58.0,4.65,4.61,2.89,6.959
1.31,61.9,54.0,7.03,7.06,4.35,9.302
0.7,60.4,63.0,5.73,5.76,3.47,8.041
0.5,61.4,57.0,5.08,5.11,3.12,7.428999999999999
0.5,62.3,56.0,5.06,5.12,3.17,7.251
0.39,62.1,54.3,4.63,4.69,2.9,6.749
0.4,63.0,55.0,4.7,4.73,2.97,6.672000000000001
0.33,59.5,56.0,4.51,4.56,2.7,6.837999999999999
0.32,61.5,59.0,4.4,4.42,2.71,6.33
0.62,58.8,63.0,5.58,5.61,3.29,7.393
0.4,63.2,56.0,4.65,4.69,2.95,6.532
1.51,62.8,60.0,7.22,7.14,4.51,8.957
0.37,60.5,60.0,4.65,4.67,2.82,6.775
0.8,61.2,60.0,5.97,5.95,3.65,7.977
0.54,61.1,55.0,5.37,5.24,3.24,7.597
1.27,63.4,60.0,6.85,6.8,4.33,8.646
0.71,62.8,61.0,5.71,5.63,3.56,7.559
0.4,61.6,58.0,4.73,4.69,2.9,6.898
0.9,62.9,57.0,6.16,6.18,3.88,8.429
1.7,62.2,59.0,7.68,7.6,4.75,8.911
0.23,61.9,54.0,3.93,3.95,2.44,6.001
0.34,60.8,59.0,4.53,4.48,2.74,6.64
0.9,63.5,57.0,6.09,6.13,3.88,8.117
0.31,59.6,58.0,4.38,4.41,2.62,6.526
1.12,62.9,58.0,6.55,6.62,4.14,8.411
0.43,61.5,56.0,4.82,4.87,2.98,6.721
0.39,61.7,54.2,4.69,4.75,2.91,6.859
1.57,62.4,58.0,7.41,7.37,4.61,8.984
0.3,61.2,57.0,4.32,4.34,2.65,6.731
1.7,63.0,58.0,7.52,7.65,4.78,9.3
0.25,62.1,57.0,4.02,4.07,2.51,6.306
0.96,58.7,58.0,6.47,6.51,3.81,8.699
1.15,60.2,58.0,6.86,6.8,4.11,8.555
0.64,60.9,56.0,5.57,5.59,3.4,8.076
0.4,62.6,54.0,4.73,4.78,2.98,6.737
0.3,62.1,57.0,4.26,4.3,2.66,6.787000000000001
0.59,62.1,55.0,5.35,5.4,3.34,7.558
0.3,63.9,57.0,4.27,4.24,2.72,6.184
0.4,63.0,59.0,4.69,4.7,2.96,6.537000000000001
0.39,63.4,57.0,4.67,4.63,2.95,6.917000000000001
0.7,63.8,56.0,5.58,5.62,3.57,7.587000000000001
0.72,62.1,55.0,5.73,5.8,3.58,7.8
1.31,62.8,57.0,6.98,6.9,4.36,8.658999999999999
1.51,62.1,55.0,7.38,7.33,4.57,9.546
0.6,66.5,56.0,5.31,5.21,3.5,6.94
0.81,61.8,55.0,6.04,6.0,3.72,8.008
1.0,59.6,60.0,6.43,6.48,3.85,8.585
0.9,62.1,57.0,6.18,6.25,3.86,8.417
0.72,62.1,54.0,5.76,5.81,3.59,8.146
1.0,60.8,60.0,6.44,6.49,3.93,8.411
1.29,61.1,62.0,7.0,6.94,4.26,8.363999999999999
0.41,61.4,56.0,4.81,4.77,2.94,6.876
3.4,66.8,52.0,9.42,9.34,6.27,9.677999999999999
1.1,60.7,55.0,6.71,6.74,4.08,8.757
0.38,62.1,53.9,4.64,4.69,2.9,6.724
0.32,61.4,56.0,4.45,4.41,2.72,6.644
1.66,60.8,57.0,7.68,7.65,4.66,8.76
0.41,61.5,56.0,4.79,4.77,2.94,6.867999999999999
1.0,60.7,59.0,6.45,6.41,3.9,8.139
1.01,61.8,57.0,6.42,6.47,3.98,8.357000000000001
0.77,59.4,59.0,6.0,5.96,3.55,8.286
1.01,62.3,56.0,6.36,6.42,3.98,8.583
0.3,62.2,56.0,4.26,4.29,2.66,6.745
0.71,62.2,56.0,5.71,5.74,3.56,7.742000000000001
0.27,60.6,58.0,4.18,4.2,2.54,6.433
0.8,59.7,56.0,6.05,6.11,3.63,7.849
1.16,62.1,59.0,6.76,6.71,4.18,8.549
0.28,62.3,55.0,4.21,4.24,2.63,6.176
0.33,63.2,58.0,4.36,4.38,2.76,6.098
0.51,60.4,56.0,5.18,5.21,3.14,7.4270000000000005
1.0,61.1,59.9,6.37,6.41,3.9,8.519
0.43,61.2,58.0,4.84,4.9,2.98,6.765
0.35,61.6,57.0,4.54,4.55,2.8,6.468
0.38,59.1,58.0,4.74,4.77,2.81,6.454
1.52,63.6,56.0,7.26,7.33,4.64,9.169
2.01,62.3,58.0,8.06,8.11,5.04,9.666
2.51,62.9,56.0,8.65,8.61,5.43,9.637
1.55,62.5,55.0,7.38,7.4,4.62,9.809
0.35,61.9,56.0,4.55,4.53,2.81,6.874
0.52,63.9,59.0,5.08,5.1,3.25,7.417000000000001
1.22,61.1,56.0,6.91,6.94,4.23,9.295
0.33,61.6,58.0,4.41,4.45,2.73,6.6610000000000005
0.32,63.0,57.0,4.33,4.37,2.74,6.33
1.26,62.0,56.0,6.93,6.9,4.29,8.594
0.81,63.6,55.0,5.91,5.86,3.74,7.981
0.54,62.6,59.0,5.19,5.22,3.26,7.377999999999999
0.3,61.8,60.0,4.29,4.32,2.66,6.405
1.3,61.0,59.0,7.05,7.08,4.31,9.299
0.32,62.1,56.0,4.4,4.43,2.74,6.553999999999999
0.54,61.1,59.0,5.22,5.26,3.2,7.47
0.32,62.6,58.0,4.37,4.42,2.75,6.107
0.31,61.5,54.0,4.35,4.4,2.69,6.25
0.32,61.2,56.0,4.45,4.41,2.71,6.718999999999999
0.42,61.6,58.0,4.82,4.79,2.96,6.9910000000000005
0.34,61.8,57.0,4.48,4.52,2.78,6.545
0.42,62.0,59.0,4.83,4.78,2.98,6.7589999999999995
0.55,59.7,58.0,5.33,5.35,3.19,7.146
0.55,60.2,59.0,5.36,5.24,3.19,7.235
2.1,61.7,53.0,8.3,8.19,5.09,9.618
0.53,61.5,54.0,5.22,5.26,3.22,6.945
1.03,62.0,56.0,6.46,6.55,4.03,9.19
0.45,60.1,58.0,4.97,4.95,2.98,7.188
1.0,59.6,57.0,6.43,6.42,3.83,8.877
0.72,61.6,56.0,5.73,5.8,3.55,8.167
0.3,61.8,58.0,4.26,4.28,2.64,6.489
1.02,59.7,60.0,6.58,6.55,3.92,8.556000000000001
0.5,63.2,56.0,5.01,5.05,3.18,7.27
0.23,59.6,65.0,3.95,3.97,2.36,5.935
0.51,61.9,58.0,5.1,5.15,3.17,7.513
1.74,58.7,60.0,7.9,7.84,4.62,9.307
1.02,62.5,56.0,6.44,6.35,4.0,8.494
1.05,62.5,59.0,6.5,6.43,4.04,8.691
0.3,60.6,56.0,4.37,4.35,2.64,6.515
1.5,60.9,62.0,7.3,7.32,4.45,8.817
2.43,62.2,57.0,8.63,8.54,5.34,9.836
0.82,62.9,57.0,5.88,5.94,3.72,7.746
1.71,62.1,55.0,7.73,7.65,4.78,9.368
0.36,62.3,56.0,4.57,4.54,2.84,6.959
0.55,60.9,55.0,5.34,5.37,3.26,7.596
0.41,62.1,58.0,4.78,4.76,2.96,6.9670000000000005
0.29,62.2,56.0,4.24,4.27,2.64,6.096
0.33,61.2,55.0,4.45,4.47,2.73,6.256
0.53,61.0,55.0,5.21,5.32,3.21,7.106
1.51,62.1,56.0,7.38,7.34,4.57,9.712
0.91,62.6,57.0,6.15,6.21,3.87,8.501
1.06,61.2,57.1,6.56,6.59,4.03,8.622
0.7,60.5,58.0,5.77,5.74,3.48,7.928999999999999
0.52,61.0,56.0,5.18,5.24,3.18,7.555
0.91,62.7,63.0,6.1,6.03,3.8,8.264
1.01,62.0,54.9,6.41,6.44,3.99,8.748
0.31,62.8,57.0,4.28,4.32,2.7,6.192
2.28,63.7,55.0,8.35,8.28,5.3,9.572000000000001
0.26,62.2,55.0,4.06,4.11,2.54,6.136
1.1,61.3,58.0,6.63,6.74,4.1,8.685
0.42,62.7,56.0,4.77,4.74,2.98,7.006
0.31,62.9,57.0,4.27,4.32,2.7,6.347
1.18,58.7,60.0,7.01,6.93,4.09,8.508
0.32,61.9,57.0,4.4,4.36,2.71,6.627999999999999
0.31,61.9,57.0,4.31,4.35,2.68,6.641
1.12,61.6,59.0,6.63,6.67,4.1,8.568999999999999
0.33,62.8,54.0,4.42,4.4,2.77,6.611000000000001
2.0,62.2,57.0,8.11,8.09,5.04,9.72
0.91,60.6,57.0,6.25,6.27,3.79,8.447000000000001
0.32,62.0,55.0,4.38,4.42,2.73,6.631
2.0,62.8,57.0,7.95,8.0,5.01,9.842
1.41,59.5,59.0,7.35,7.3,4.36,9.078
0.71,62.2,57.0,5.79,5.62,3.55,7.928999999999999
1.07,62.1,56.0,6.54,6.6,4.08,8.361
0.73,61.9,55.0,5.76,5.8,3.58,8.036
1.27,62.6,57.0,6.91,6.95,4.34,8.951
0.35,62.1,58.0,4.52,4.46,2.79,6.931
0.5,64.6,61.0,5.05,4.95,3.23,7.121
0.34,60.8,57.0,4.49,4.53,2.74,6.691
0.3,63.1,55.0,4.25,4.31,2.7,6.436
1.34,61.7,59.0,7.03,7.14,4.37,8.738
0.52,61.9,56.0,5.16,5.12,3.18,7.504
0.4,62.3,57.0,4.72,4.75,2.95,6.89
0.7,62.2,58.0,5.66,5.6,3.5,7.947
1.24,62.0,56.0,6.87,6.9,4.27,9.082
1.53,61.0,55.0,7.44,7.49,4.55,9.347000000000001
0.3,62.2,56.0,4.27,4.31,2.67,6.25
1.05,60.9,56.0,6.64,6.56,4.02,8.45
0.32,62.5,60.0,4.38,4.32,2.72,6.579
0.7,58.4,63.0,5.77,5.84,3.39,7.629
2.04,62.8,58.0,8.11,8.06,5.08,9.56
0.32,62.4,55.0,4.4,4.42,2.75,6.861000000000001
0.8,61.7,62.0,5.89,5.94,3.65,8.074
0.5,62.8,61.0,4.94,5.0,3.12,7.277
0.26,60.9,55.0,4.15,4.23,2.55,6.644
0.56,60.8,57.0,5.3,5.35,3.24,7.565
0.41,61.7,61.0,4.74,4.7,2.91,6.9670000000000005
1.54,61.7,59.0,7.4,7.34,4.55,9.096
1.0,61.0,57.0,6.47,6.44,3.94,8.634
0.31,63.4,58.0,4.32,4.35,2.75,6.347
0.9,61.6,62.0,6.12,6.09,3.76,8.459
0.91,63.5,58.0,6.15,6.1,3.89,8.068999999999999
0.42,61.7,59.0,4.75,4.82,2.95,6.784
0.96,62.7,58.0,6.2,6.24,3.9,8.097000000000001
0.43,62.3,53.0,4.84,4.86,3.02,6.545
0.5,61.4,59.0,5.12,5.1,3.14,7.459
0.72,62.0,55.0,5.76,5.79,3.58,7.915
0.29,62.2,54.0,4.23,4.26,2.64,6.144
0.87,61.4,54.0,6.15,6.2,3.79,8.297
2.02,61.7,58.0,8.15,8.11,5.02,9.825
0.3,61.1,56.0,4.33,4.38,2.66,6.702000000000001
0.32,62.0,55.0,4.36,4.38,2.71,6.553999999999999
0.95,56.0,60.0,6.62,6.53,3.68,7.943
0.57,62.7,60.0,5.25,5.21,3.28,6.847
0.33,62.0,55.0,4.44,4.46,2.76,6.361000000000001
1.51,62.4,59.0,7.33,7.29,4.56,9.419
0.55,61.2,59.0,5.3,5.26,3.23,6.974
1.58,60.4,58.0,7.6,7.52,4.57,9.092
1.15,61.6,60.0,6.72,6.75,4.15,8.464
0.53,60.8,56.0,5.28,5.25,3.21,7.579
1.01,64.2,59.0,6.31,6.28,4.04,8.295
0.5,62.8,56.0,5.03,5.06,3.17,7.131
2.07,61.2,58.0,8.24,8.19,5.03,9.738
1.55,62.3,55.5,7.36,7.42,4.61,9.191
0.23,61.3,57.0,3.97,4.02,2.45,6.225
0.7,61.0,60.0,5.75,5.72,3.5,7.821000000000001
1.33,61.9,58.0,7.07,7.01,4.36,8.559
2.0,61.8,57.0,8.1,8.15,5.02,9.802
0.51,58.3,63.0,5.21,5.26,3.05,7.143
0.31,62.3,60.0,4.31,4.36,2.7,6.438
0.59,61.1,56.0,5.43,5.47,3.33,7.669
0.71,62.1,58.0,5.71,5.73,3.55,7.4239999999999995
0.41,61.3,57.0,4.77,4.79,2.93,6.915
0.42,62.4,55.0,4.79,4.83,3.0,6.865
0.71,62.4,59.0,5.73,5.68,3.56,8.059
1.24,62.0,58.0,6.83,6.88,4.25,8.737
0.4,62.8,59.0,4.69,4.67,2.94,6.751
0.32,60.2,60.0,4.39,4.44,2.66,6.33
0.4,60.8,59.0,4.71,4.76,2.88,6.821000000000001
0.37,60.8,57.0,4.61,4.66,2.82,6.475
0.75,62.9,57.0,5.74,5.81,3.63,7.7410000000000005
0.34,61.0,55.0,4.51,4.54,2.76,6.881
1.01,60.7,58.0,6.47,6.51,3.94,8.637
0.33,61.3,59.0,4.51,4.46,2.75,6.349
0.51,61.5,56.0,5.16,5.11,3.16,7.523
1.02,59.9,58.0,6.48,6.55,3.9,8.333
0.82,62.6,60.0,5.91,5.97,3.72,8.2
0.35,62.0,54.0,4.54,4.56,2.82,6.394
1.01,60.9,63.0,6.51,6.43,3.94,7.751
0.41,62.7,56.0,4.78,4.72,2.98,7.0089999999999995
1.23,62.2,56.1,6.8,6.87,4.25,9.202
1.13,55.9,67.0,7.05,6.94,3.9,8.454
0.32,61.1,59.0,4.38,4.42,2.69,6.042999999999999
0.41,61.6,57.0,4.78,4.8,2.95,6.558
1.0,63.1,59.0,6.26,6.36,3.98,8.77
0.71,62.3,56.0,5.7,5.73,3.56,7.8660000000000005
0.37,61.6,59.0,4.62,4.66,2.86,6.524
0.52,63.8,56.0,5.07,5.12,3.25,7.126
0.43,59.0,58.0,4.93,4.96,2.92,6.574
0.6,62.0,55.0,5.39,5.42,3.35,7.801
0.31,62.1,53.0,4.34,4.36,2.7,6.211
1.04,62.5,58.0,6.37,6.46,4.01,9.081
1.0,62.4,58.0,6.33,6.4,3.97,8.74
0.38,62.1,55.0,4.65,4.62,2.88,6.7
1.21,61.1,59.0,6.9,6.89,4.21,9.605
0.3,60.6,57.0,4.34,4.37,2.63,6.188
1.1,63.0,59.0,6.5,6.47,0.0,8.215
1.13,62.3,60.0,6.59,6.7,4.14,8.596
0.53,61.3,55.0,5.24,5.2,3.2,7.502999999999999
0.25,59.3,59.0,4.15,4.18,2.47,6.306
0.55,61.4,55.0,5.29,5.26,3.24,7.419
0.31,61.9,55.0,4.36,4.37,2.7,6.367999999999999
2.06,59.0,64.0,8.39,8.13,4.89,9.61
0.74,62.1,55.0,5.82,5.84,3.62,8.088
0.33,59.9,62.0,4.48,4.57,2.71,6.354
0.3,62.3,58.0,4.32,4.29,2.68,6.815
2.01,62.1,55.0,8.12,8.08,5.03,9.421
1.14,59.2,61.0,6.82,6.84,4.04,8.509
0.42,60.6,58.0,4.95,4.82,2.96,6.892
0.31,62.5,57.0,4.34,4.37,2.72,6.438
0.71,61.7,57.0,5.75,5.72,3.54,7.827999999999999
0.3,62.2,54.0,4.29,4.33,2.68,6.457999999999999
0.41,63.1,60.0,4.67,4.71,2.96,6.625
1.0,61.5,58.0,6.41,6.38,3.93,8.274
0.43,61.3,57.0,4.84,4.88,2.98,7.268
0.71,61.1,57.0,5.71,5.74,3.5,7.755
0.81,62.3,59.0,5.93,5.98,3.71,8.038
1.27,62.3,58.0,6.87,6.94,4.3,8.871
0.7,61.5,56.0,5.74,5.7,3.52,7.761
1.53,59.9,58.0,7.54,7.41,4.48,9.076
0.33,61.6,56.0,4.43,4.47,2.74,6.227
0.7,57.3,63.0,5.78,5.84,3.33,7.729
0.72,61.4,58.0,5.73,5.76,3.53,7.858
0.37,64.0,56.0,4.58,4.45,2.89,6.388999999999999
1.01,61.6,56.0,6.46,6.43,3.97,8.757
1.02,59.9,58.0,6.57,6.66,3.96,8.543
1.64,62.8,59.0,7.53,7.51,4.72,9.447000000000001
0.38,59.7,63.0,4.71,4.73,2.82,7.053999999999999
1.51,63.1,60.0,7.19,7.13,4.52,8.827
2.01,60.8,61.0,8.14,8.07,4.93,9.414
2.01,61.4,58.0,8.11,7.99,4.94,9.797
1.0,57.6,61.0,6.56,6.52,3.77,8.2
1.2,61.4,56.0,6.94,6.83,4.23,9.344
