carat,depth,table,x,y,z,price,color_num,cut_num
0.5,64.6,58.0,5.0,4.97,3.22,7.188,6,1
1.61,62.4,55.0,7.49,7.52,4.68,9.234,5,5
0.38,61.5,56.0,4.67,4.7,2.88,7.1,2,5
0.39,62.4,58.0,4.65,4.61,2.89,6.959,2,4
1.31,61.9,54.0,7.03,7.06,4.35,9.302,2,5
0.7,60.4,63.0,5.73,5.76,3.47,8.041,6,2
0.5,61.4,57.0,5.08,5.11,3.12,7.428999999999999,4,5
0.5,62.3,56.0,5.06,5.12,3.17,7.251,1,5
0.39,62.1,54.3,4.63,4.69,2.9,6.749,4,5
0.4,63.0,55.0,4.7,4.73,2.97,6.672000000000001,5,5
0.33,59.5,56.0,4.51,4.56,2.7,6.837999999999999,6,3
0.32,61.5,59.0,4.4,4.42,2.71,6.33,7,4
0.62,58.8,63.0,5.58,5.61,3.29,7.393,1,3
0.4,63.2,56.0,4.65,4.69,2.95,6.532,1,2
1.51,62.8,60.0,7.22,7.14,4.51,8.957,4,4
0.37,60.5,60.0,4.65,4.67,2.82,6.775,2,5
0.8,61.2,60.0,5.97,5.95,3.65,7.977,1,4
0.54,61.1,55.0,5.37,5.24,3.24,7.597,6,4
1.27,63.4,60.0,6.85,6.8,4.33,8.646,3,3
0.71,62.8,61.0,5.71,5.63,3.56,7.559,3,4
0.4,61.6,58.0,4.73,4.69,2.9,6.898,6,4
0.9,62.9,57.0,6.16,6.18,3.88,8.429,1,3
1.7,62.2,59.0,7.68,7.6,4.75,8.911,7,4
0.23,61.9,54.0,3.93,3.95,2.44,6.001,7,5
0.34,60.8,59.0,4.53,4.48,2.74,6.64,4,4
0.9,63.5,57.0,6.09,6.13,3.88,8.117,7,3
0.31,59.6,58.0,4.38,4.41,2.62,6.526,6,4
1.12,62.9,58.0,6.55,6.62,4.14,8.411,4,3
0.43,61.5,56.0,4.82,4.87,2.98,6.721,6,5
0.39,61.7,54.2,4.69,4.75,2.91,6.859,7,5
1.57,62.4,58.0,7.41,7.37,4.61,8.984,5,4
0.3,61.2,57.0,4.32,4.34,2.65,6.731,1,5
1.7,63.0,58.0,7.52,7.65,4.78,9.3,5,3
0.25,62.1,57.0,4.02,4.07,2.51,6.306,6,3
0.96,58.7,58.0,6.47,6.51,3.81,8.699,1,3
1.15,60.2,58.0,6.86,6.8,4.11,8.555,4,4
0.64,60.9,56.0,5.57,5.59,3.4,8.076,2,5
0.4,62.6,54.0,4.73,4.78,2.98,6.737,2,5
0.3,62.1,57.0,4.26,4.3,2.66,6.787000000000001,2,3
0.59,62.1,55.0,5.35,5.4,3.34,7.558,7,5
0.3,63.9,57.0,4.27,4.24,2.72,6.184,4,2
0.4,63.0,59.0,4.69,4.7,2.96,6.537000000000001,6,3
0.39,63.4,57.0,4.67,4.63,2.95,6.917000000000001,7,3
0.7,63.8,56.0,5.58,5.62,3.57,7.587000000000001,5,3
0.72,62.1,55.0,5.73,5.8,3.58,7.8,2,5
1.31,62.8,57.0,6.98,6.9,4.36,8.658999999999999,5,4
1.51,62.1,55.0,7.38,7.33,4.57,9.546,7,5
0.6,66.5,56.0,5.31,5.21,3.5,6.94,1,1
0.81,61.8,55.0,6.04,6.0,3.72,8.008,2,5
1.0,59.6,60.0,6.43,6.48,3.85,8.585,1,3
0.9,62.1,57.0,6.18,6.25,3.86,8.417,6,5
0.72,62.1,54.0,5.76,5.81,3.59,8.146,6,5
1.0,60.8,60.0,6.44,6.49,3.93,8.411,4,3
1.29,61.1,62.0,7.0,6.94,4.26,8.363999999999999,5,4
0.41,61.4,56.0,4.81,4.77,2.94,6.876,1,4
3.4,66.8,52.0,9.42,9.34,6.27,9.677999999999999,6,1
1.1,60.7,55.0,6.71,6.74,4.08,8.757,6,3
0.38,62.1,53.9,4.64,4.69,2.9,6.724,4,5
0.32,61.4,56.0,4.45,4.41,2.72,6.644,1,5
1.66,60.8,57.0,7.68,7.65,4.66,8.76,3,5
0.41,61.5,56.0,4.79,4.77,2.94,6.867999999999999,7,5
1.0,60.7,59.0,6.45,6.41,3.9,8.139,7,4
1.01,61.8,57.0,6.42,6.47,3.98,8.357000000000001,6,3
0.77,59.4,59.0,6.0,5.96,3.55,8.286,6,4
1.01,62.3,56.0,6.36,6.42,3.98,8.583,1,3
0.3,62.2,56.0,4.26,4.29,2.66,6.745,7,5
0.71,62.2,56.0,5.71,5.74,3.56,7.742000000000001,2,5
0.27,60.6,58.0,4.18,4.2,2.54,6.433,1,4
0.8,59.7,56.0,6.05,6.11,3.63,7.849,2,3
1.16,62.1,59.0,6.76,6.71,4.18,8.549,2,4
0.28,62.3,55.0,4.21,4.24,2.63,6.176,4,5
0.33,63.2,58.0,4.36,4.38,2.76,6.098,5,2
0.51,60.4,56.0,5.18,5.21,3.14,7.4270000000000005,2,5
1.0,61.1,59.9,6.37,6.41,3.9,8.519,5,3
0.43,61.2,58.0,4.84,4.9,2.98,6.765,7,4
0.35,61.6,57.0,4.54,4.55,2.8,6.468,6,5
0.38,59.1,58.0,4.74,4.77,2.81,6.454,6,4
1.52,63.6,56.0,7.26,7.33,4.64,9.169,3,3
2.01,62.3,58.0,8.06,8.11,5.04,9.666,4,4
2.51,62.9,56.0,8.65,8.61,5.43,9.637,4,5
1.55,62.5,55.0,7.38,7.4,4.62,9.809,1,5
0.35,61.9,56.0,4.55,4.53,2.81,6.874,1,5
0.52,63.9,59.0,5.08,5.1,3.25,7.417000000000001,4,3
1.22,61.1,56.0,6.91,6.94,4.23,9.295,7,5
0.33,61.6,58.0,4.41,4.45,2.73,6.6610000000000005,1,4
0.32,63.0,57.0,4.33,4.37,2.74,6.33,5,3
1.26,62.0,56.0,6.93,6.9,4.29,8.594,3,5
0.81,63.6,55.0,5.91,5.86,3.74,7.981,6,2
0.54,62.6,59.0,5.19,5.22,3.26,7.377999999999999,4,4
0.3,61.8,60.0,4.29,4.32,2.66,6.405,7,4
1.3,61.0,59.0,7.05,7.08,4.31,9.299,2,4
0.32,62.1,56.0,4.4,4.43,2.74,6.553999999999999,1,5
0.54,61.1,59.0,5.22,5.26,3.2,7.47,7,4
0.32,62.6,58.0,4.37,4.42,2.75,6.107,5,4
0.31,61.5,54.0,4.35,4.4,2.69,6.25,4,5
0.32,61.2,56.0,4.45,4.41,2.71,6.718999999999999,7,5
0.42,61.6,58.0,4.82,4.79,2.96,6.9910000000000005,4,4
0.34,61.8,57.0,4.48,4.52,2.78,6.545,1,5
0.42,62.0,59.0,4.83,4.78,2.98,6.7589999999999995,6,4
0.55,59.7,58.0,5.33,5.35,3.19,7.146,1,4
0.55,60.2,59.0,5.36,5.24,3.19,7.235,4,4
2.1,61.7,53.0,8.3,8.19,5.09,9.618,4,5
0.53,61.5,54.0,5.22,5.26,3.22,6.945,5,5
1.03,62.0,56.0,6.46,6.55,4.03,9.19,6,5
0.45,60.1,58.0,4.97,4.95,2.98,7.188,7,4
1.0,59.6,57.0,6.43,6.42,3.83,8.877,1,5
0.72,61.6,56.0,5.73,5.8,3.55,8.167,6,5
0.3,61.8,58.0,4.26,4.28,2.64,6.489,1,3
1.02,59.7,60.0,6.58,6.55,3.92,8.556000000000001,6,4
0.5,63.2,56.0,5.01,5.05,3.18,7.27,2,2
0.23,59.6,65.0,3.95,3.97,2.36,5.935,1,3
0.51,61.9,58.0,5.1,5.15,3.17,7.513,1,4
1.74,58.7,60.0,7.9,7.84,4.62,9.307,5,4
1.02,62.5,56.0,6.44,6.35,4.0,8.494,2,4
1.05,62.5,59.0,6.5,6.43,4.04,8.691,1,4
0.3,60.6,56.0,4.37,4.35,2.64,6.515,1,4
1.5,60.9,62.0,7.3,7.32,4.45,8.817,3,2
2.43,62.2,57.0,8.63,8.54,5.34,9.836,3,4
0.82,62.9,57.0,5.88,5.94,3.72,7.746,3,3
1.71,62.1,55.0,7.73,7.65,4.78,9.368,3,5
0.36,62.3,56.0,4.57,4.54,2.84,6.959,4,5
0.55,60.9,55.0,5.34,5.37,3.26,7.596,7,5
0.41,62.1,58.0,4.78,4.76,2.96,6.9670000000000005,5,4
0.29,62.2,56.0,4.24,4.27,2.64,6.096,4,3
0.33,61.2,55.0,4.45,4.47,2.73,6.256,4,5
0.53,61.0,55.0,5.21,5.32,3.21,7.106,7,3
1.51,62.1,56.0,7.38,7.34,4.57,9.712,2,5
0.91,62.6,57.0,6.15,6.21,3.87,8.501,4,3
1.06,61.2,57.1,6.56,6.59,4.03,8.622,5,4
0.7,60.5,58.0,5.77,5.74,3.48,7.928999999999999,1,4
0.52,61.0,56.0,5.18,5.24,3.18,7.555,7,5
0.91,62.7,63.0,6.1,6.03,3.8,8.264,4,3
1.01,62.0,54.9,6.41,6.44,3.99,8.748,7,5
0.31,62.8,57.0,4.28,4.32,2.7,6.192,5,3
2.28,63.7,55.0,8.35,8.28,5.3,9.572000000000001,3,2
0.26,62.2,55.0,4.06,4.11,2.54,6.136,4,5
1.1,61.3,58.0,6.63,6.74,4.1,8.685,4,3
0.42,62.7,56.0,4.77,4.74,2.98,7.006,7,5
0.31,62.9,57.0,4.27,4.32,2.7,6.347,6,3
1.18,58.7,60.0,7.01,6.93,4.09,8.508,4,4
0.32,61.9,57.0,4.4,4.36,2.71,6.627999999999999,6,5
0.31,61.9,57.0,4.31,4.35,2.68,6.641,6,5
1.12,61.6,59.0,6.63,6.67,4.1,8.568999999999999,4,4
0.33,62.8,54.0,4.42,4.4,2.77,6.611000000000001,7,5
2.0,62.2,57.0,8.11,8.09,5.04,9.72,1,5
0.91,60.6,57.0,6.25,6.27,3.79,8.447000000000001,5,5
0.32,62.0,55.0,4.38,4.42,2.73,6.631,6,5
2.0,62.8,57.0,7.95,8.0,5.01,9.842,4,3
1.41,59.5,59.0,7.35,7.3,4.36,9.078,7,4
0.71,62.2,57.0,5.79,5.62,3.55,7.928999999999999,1,5
1.07,62.1,56.0,6.54,6.6,4.08,8.361,3,5
0.73,61.9,55.0,5.76,5.8,3.58,8.036,7,5
1.27,62.6,57.0,6.91,6.95,4.34,8.951,4,3
0.35,62.1,58.0,4.52,4.46,2.79,6.931,4,4
0.5,64.6,61.0,5.05,4.95,3.23,7.121,6,1
0.34,60.8,57.0,4.49,4.53,2.74,6.691,1,5
0.3,63.1,55.0,4.25,4.31,2.7,6.436,7,5
1.34,61.7,59.0,7.03,7.14,4.37,8.738,3,3
0.52,61.9,56.0,5.16,5.12,3.18,7.504,1,5
0.4,62.3,57.0,4.72,4.75,2.95,6.89,6,5
0.7,62.2,58.0,5.66,5.6,3.5,7.947,1,4
1.24,62.0,56.0,6.87,6.9,4.27,9.082,7,5
1.53,61.0,55.0,7.44,7.49,4.55,9.347000000000001,1,5
0.3,62.2,56.0,4.27,4.31,2.67,6.25,5,5
1.05,60.9,56.0,6.64,6.56,4.02,8.45,2,5
0.32,62.5,60.0,4.38,4.32,2.72,6.579,7,4
0.7,58.4,63.0,5.77,5.84,3.39,7.629,2,3
2.04,62.8,58.0,8.11,8.06,5.08,9.56,4,4
0.32,62.4,55.0,4.4,4.42,2.75,6.861000000000001,7,3
0.8,61.7,62.0,5.89,5.94,3.65,8.074,4,3
0.5,62.8,61.0,4.94,5.0,3.12,7.277,2,2
0.26,60.9,55.0,4.15,4.23,2.55,6.644,2,5
0.56,60.8,57.0,5.3,5.35,3.24,7.565,4,5
0.41,61.7,61.0,4.74,4.7,2.91,6.9670000000000005,7,4
1.54,61.7,59.0,7.4,7.34,4.55,9.096,5,4
1.0,61.0,57.0,6.47,6.44,3.94,8.634,7,5
0.31,63.4,58.0,4.32,4.35,2.75,6.347,6,2
0.9,61.6,62.0,6.12,6.09,3.76,8.459,6,4
0.91,63.5,58.0,6.15,6.1,3.89,8.068999999999999,2,3
0.42,61.7,59.0,4.75,4.82,2.95,6.784,2,3
0.96,62.7,58.0,6.2,6.24,3.9,8.097000000000001,5,3
0.43,62.3,53.0,4.84,4.86,3.02,6.545,7,5
0.5,61.4,59.0,5.12,5.1,3.14,7.459,2,4
0.72,62.0,55.0,5.76,5.79,3.58,7.915,2,5
0.29,62.2,54.0,4.23,4.26,2.64,6.144,4,3
0.87,61.4,54.0,6.15,6.2,3.79,8.297,6,5
2.02,61.7,58.0,8.15,8.11,5.02,9.825,2,4
0.3,61.1,56.0,4.33,4.38,2.66,6.702000000000001,2,5
0.32,62.0,55.0,4.36,4.38,2.71,6.553999999999999,1,5
0.95,56.0,60.0,6.62,6.53,3.68,7.943,2,1
0.57,62.7,60.0,5.25,5.21,3.28,6.847,3,4
0.33,62.0,55.0,4.44,4.46,2.76,6.361000000000001,4,5
1.51,62.4,59.0,7.33,7.29,4.56,9.419,1,4
0.55,61.2,59.0,5.3,5.26,3.23,6.974,7,4
1.58,60.4,58.0,7.6,7.52,4.57,9.092,4,4
1.15,61.6,60.0,6.72,6.75,4.15,8.464,4,4
0.53,60.8,56.0,5.28,5.25,3.21,7.579,1,5
1.01,64.2,59.0,6.31,6.28,4.04,8.295,7,1
0.5,62.8,56.0,5.03,5.06,3.17,7.131,2,3
2.07,61.2,58.0,8.24,8.19,5.03,9.738,1,4
1.55,62.3,55.5,7.36,7.42,4.61,9.191,2,5
0.23,61.3,57.0,3.97,4.02,2.45,6.225,1,3
0.7,61.0,60.0,5.75,5.72,3.5,7.821000000000001,2,4
1.33,61.9,58.0,7.07,7.01,4.36,8.559,4,4
2.0,61.8,57.0,8.1,8.15,5.02,9.802,4,5
0.51,58.3,63.0,5.21,5.26,3.05,7.143,1,3
0.31,62.3,60.0,4.31,4.36,2.7,6.438,4,4
0.59,61.1,56.0,5.43,5.47,3.33,7.669,2,5
0.71,62.1,58.0,5.71,5.73,3.55,7.4239999999999995,3,3
0.41,61.3,57.0,4.77,4.79,2.93,6.915,2,5
0.42,62.4,55.0,4.79,4.83,3.0,6.865,1,5
0.71,62.4,59.0,5.73,5.68,3.56,8.059,6,4
1.24,62.0,58.0,6.83,6.88,4.25,8.737,5,5
0.4,62.8,59.0,4.69,4.67,2.94,6.751,4,4
0.32,60.2,60.0,4.39,4.44,2.66,6.33,1,4
0.4,60.8,59.0,4.71,4.76,2.88,6.821000000000001,6,5
0.37,60.8,57.0,4.61,4.66,2.82,6.475,7,5
0.75,62.9,57.0,5.74,5.81,3.63,7.7410000000000005,3,5
0.34,61.0,55.0,4.51,4.54,2.76,6.881,7,5
1.01,60.7,58.0,6.47,6.51,3.94,8.637,4,3
